,makespan,tardiness,throughput_op,throughput_j,flow_time,utilization,duration,n_decisions,instance,control_name
0,6942.0,632.1622559230924,0.14405070584845867,0.014405070584845865,1456.86,5519.0,45.340142011642456,-1,65537__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,AZ
1,7164.0,359.7844260012052,0.13958682300390843,0.013958682300390842,1183.6,5519.1,49.001654863357544,-1,89__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,AZ
2,7203.0,627.1737111911777,0.13883104262113008,0.013883104262113009,1453.48,5520.7,50.80187630653381,-1,32935__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,AZ
3,7552.0,540.7105364415103,0.13241525423728814,0.013241525423728813,1379.95,5603.5,52.605796813964844,-1,249__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,AZ
4,7163.0,806.7275894212303,0.13960631020522127,0.013960631020522127,1630.8,5507.7,51.15810203552246,-1,65894__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,AZ
5,7186.0,761.8821906149954,0.13915947676036738,0.013915947676036738,1587.26,5519.6,51.954492807388306,-1,65986__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,AZ
6,7212.0,534.07463871785,0.1386577925679423,0.013865779256794232,1362.95,5536.7,53.03660702705383,-1,524__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,AZ
7,7441.0,478.6393291168069,0.134390538906061,0.013439053890606102,1316.32,5595.9,49.764808654785156,-1,603__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,AZ
8,7201.0,664.3262119037302,0.13886960144424385,0.013886960144424386,1486.86,5499.7,47.331347703933716,-1,682__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,AZ
9,7227.0,672.2770828489224,0.1383700013837,0.013837000138370002,1500.55,5534.7,53.69977807998657,-1,66302__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,AZ
10,7129.0,272.96249614280526,0.14027212792818067,0.014027212792818067,1090.8,5485.2,53.61369299888611,-1,858__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,AZ
11,7336.714530969923,352.4738514644187,0.13630079182974544,0.013630079182974545,1181.99,5551.7,54.577489376068115,-1,66456__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,AZ
12,7120.0,538.8698188644486,0.1404494382022472,0.014044943820224719,1385.62,5665.3,55.08108401298523,-1,66550__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,AZ
