,makespan,tardiness,throughput_op,throughput_j,flow_time,utilization,duration,n_decisions,instance,control_name
0,6860.0,558.5722559230925,0.1457725947521866,0.014577259475218658,1384.37,5519.0,1279.7975685596466,-1,65537__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,MCTS8_hLPT-LOR-MOR-SRPT-LRPT-LTPO-MTPO-EDD-LUDM-SPT-LQT-LQO
1,7431.0,264.5164021043515,0.13457139012245997,0.013457139012245996,1090.76,5560.0,1233.6482751369476,-1,100__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,MCTS8_hLPT-LOR-MOR-SRPT-LRPT-LTPO-MTPO-EDD-LUDM-SPT-LQT-LQO
2,7134.0,435.59817960615857,0.14017381553125877,0.014017381553125876,1274.89,5601.5,1283.9494767189026,-1,32971__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,MCTS8_hLPT-LOR-MOR-SRPT-LRPT-LTPO-MTPO-EDD-LUDM-SPT-LQT-LQO
3,7044.0,345.5684445256856,0.1419647927314026,0.014196479273140262,1176.14,5548.0,1271.4104278087616,-1,321__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,MCTS8_hLPT-LOR-MOR-SRPT-LRPT-LTPO-MTPO-EDD-LUDM-SPT-LQT-LQO
4,7042.0,679.7577787285867,0.14200511218403863,0.014200511218403862,1500.65,5492.1,1274.0815904140472,-1,65965__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,MCTS8_hLPT-LOR-MOR-SRPT-LRPT-LTPO-MTPO-EDD-LUDM-SPT-LQT-LQO
5,7255.0,399.18463871785,0.13783597518952448,0.013783597518952447,1228.67,5536.7,1288.411911725998,-1,524__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,MCTS8_hLPT-LOR-MOR-SRPT-LRPT-LTPO-MTPO-EDD-LUDM-SPT-LQT-LQO
6,7295.0,530.5355955374575,0.13708019191226867,0.013708019191226868,1368.49,5595.9,1262.7375268936157,-1,619__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,MCTS8_hLPT-LOR-MOR-SRPT-LRPT-LTPO-MTPO-EDD-LUDM-SPT-LQT-LQO
7,7216.0,738.0274164650666,0.1385809312638581,0.01385809312638581,1570.09,5576.0,1251.3507506847382,-1,66253__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,MCTS8_hLPT-LOR-MOR-SRPT-LRPT-LTPO-MTPO-EDD-LUDM-SPT-LQT-LQO
8,6981.0,432.17556751562205,0.14324595330181922,0.014324595330181922,1257.54,5522.0,1267.314037322998,-1,826__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,MCTS8_hLPT-LOR-MOR-SRPT-LRPT-LTPO-MTPO-EDD-LUDM-SPT-LQT-LQO
9,7153.0,443.1283768160614,0.1398014818957081,0.01398014818957081,1286.96,5651.4,1272.6356332302094,-1,66444__benchmarks/fjssp_all/10_10-0.0__10-5.0__orb10v,MCTS8_hLPT-LOR-MOR-SRPT-LRPT-LTPO-MTPO-EDD-LUDM-SPT-LQT-LQO
