,makespan,tardiness,throughput_op,throughput_j,flow_time,utilization,duration,n_decisions,instance,control_name
0,10787.67470184558,89.07049764200619,0.09269838288958765,0.009269838288958766,808.87,5519.0,78.05645155906677,-1,65537__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
1,11707.878575245917,114.20242256881713,0.08541257014010291,0.008541257014010291,828.61,5519.1,81.87311577796936,-1,89__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
2,11876.29543943835,91.84425023812135,0.08420134082209155,0.008420134082209154,794.72,5520.7,67.31921720504761,-1,32935__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
3,11949.78939514807,111.89584482106766,0.08368348319226668,0.008368348319226667,843.2,5603.5,80.72643780708313,-1,249__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
4,11729.273628175155,96.47360468234697,0.0852567713654388,0.00852567713654388,804.96,5507.7,71.23249530792236,-1,65894__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
5,11677.165965432765,119.25254997291475,0.08563721736594665,0.008563721736594665,821.49,5519.6,80.63464093208313,-1,65986__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
6,10858.532877304633,83.95683205063877,0.09209347259887155,0.009209347259887155,803.36,5536.7,74.7609601020813,-1,524__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
7,10021.558337346423,152.541427441267,0.0997848803886509,0.009978488038865089,912.65,5595.9,116.09776401519775,-1,603__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
8,11684.308002968919,93.55070083357533,0.08558487158554066,0.008558487158554066,798.39,5499.7,83.29363965988159,-1,682__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
9,11046.86993836248,106.04572392199556,0.09052337952557028,0.009052337952557029,836.63,5534.7,83.99032759666443,-1,66302__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
10,11741.673683398623,82.55818433511031,0.08516673405886634,0.008516673405886632,771.91,5485.2,71.97101044654846,-1,858__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
11,11524.132900578194,102.28144749030001,0.08677442447317035,0.008677442447317035,819.72,5551.7,74.01098108291626,-1,66456__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
12,11873.672016388655,85.96264435734821,0.0842199446489467,0.008421994464894672,807.52,5665.3,75.51129913330078,-1,66550__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
13,11063.056645542716,90.79603564287659,0.09039093191327896,0.009039093191327896,814.2,5467.7,87.82959961891174,-1,66627__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
14,11270.542433527671,83.57246398222195,0.08872687414096367,0.008872687414096365,800.37,5618.3,81.56940364837646,-1,1182__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
15,9759.81069617725,130.27871137773235,0.10246100371513177,0.010246100371513177,876.76,5463.9,104.23026013374329,-1,66791__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
16,10972.45540520951,93.70524218778417,0.09113730364538272,0.009113730364538272,814.12,5556.1,85.47115564346313,-1,66880__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
17,11318.46228543405,94.35283037085702,0.0883512242901511,0.00883512242901511,805.18,5495.5,82.44591021537781,-1,1408__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
18,12098.0930327288,99.66478077838676,0.0826576549952719,0.00826576549952719,835.34,5659.3,86.5295000076294,-1,1480__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
19,10709.637795026167,99.29323749595407,0.09337383944622533,0.009337383944622534,826.94,5538.8,91.19605755805969,-1,67114__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
20,9709.891230688041,107.54509605483035,0.10298776538706296,0.010298776538706296,864.59,5537.7,112.58506369590759,-1,67186__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
21,10060.274914795122,163.36802988175378,0.09940086215033271,0.00994008621503327,939.03,5574.2,132.69435262680054,-1,1729__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
22,12497.923899479947,71.44041409066492,0.08001328925051393,0.008001328925051393,764.24,5561.7,68.9984176158905,-1,67341__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
23,11278.380343099489,85.70618173918184,0.08866521340644762,0.008866521340644761,805.87,5568.3,75.01526474952698,-1,1889__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
24,12747.99122448921,97.81729564380124,0.07844373143895605,0.007844373143895605,825.58,5648.5,90.1053454875946,-1,1983__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
25,10295.332825495047,152.78437659154204,0.09713139117985876,0.009713139117985877,906.04,5644.3,109.02506160736084,-1,67616__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
26,13899.635685633519,59.17804141352779,0.0719443316801164,0.00719443316801164,729.79,5528.5,54.36590003967285,-1,67693__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
27,12736.920132691914,88.80528061470042,0.07851191572076323,0.007851191572076324,773.24,5512.5,73.26301908493042,-1,2245__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
28,12570.8362151617,82.88827401963056,0.07954920284411142,0.007954920284411143,769.43,5544.2,79.66371631622314,-1,35081__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
29,11031.621138850544,142.8205113869654,0.09064850826668223,0.009064850826668224,884.27,5596.4,87.06034255027771,-1,2376__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
30,10026.280674965416,120.38354558523362,0.09973788211384271,0.009973788211384272,853.37,5545.6,96.42853736877441,-1,2445__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
31,14139.93910865016,90.16314115292889,0.07072166240010512,0.007072166240010513,769.69,5569.3,70.3385169506073,-1,2522__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
32,10281.140841821285,153.07557276747139,0.09726547037778464,0.009726547037778463,901.6,5521.2,115.03619313240051,-1,68125__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
33,12527.849952276547,99.12405428137603,0.07982215653998004,0.007982215653998004,796.98,5505.2,78.50788474082947,-1,2657__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,AZ
