,makespan,tardiness,throughput_op,throughput_j,flow_time,utilization,duration,n_decisions,instance,control_name
0,10743.997462414341,103.62655879135978,0.09307522674854438,0.009307522674854437,819.51,5519.0,15.837042331695555,-1,65537__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
3,11025.03730756399,96.304199959878,0.09070264091659136,0.009070264091659137,790.91,5409.7,14.89600944519043,-1,61__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
6,11829.034075372798,105.79503993899327,0.08453775630606462,0.008453775630606461,817.85,5560.18371621934,15.072791337966919,-1,100__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
9,10698.68552807685,85.84728278418476,0.09346942644268523,0.009346942644268521,792.07,5475.4,14.977412462234495,-1,65684__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
12,10803.02589518073,127.63919946038551,0.09256665768487177,0.009256665768487177,858.63,5601.5,16.104776859283447,-1,32971__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
15,11971.557598585448,130.30032453682742,0.08353131927612821,0.00835313192761282,858.49,5603.546873106076,14.856762409210205,-1,249__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
18,11117.752473359931,89.27420310073556,0.08994623710108439,0.008994623710108441,803.99,5548.0,14.381493330001831,-1,321__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
21,11752.408746992514,97.40732154653831,0.08508893976785004,0.008508893976785005,833.19,5602.4,14.956851959228516,-1,380__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
24,13088.659366002938,78.02537246253982,0.07640201888036327,0.0076402018880363295,748.66,5492.1,13.250597476959227,-1,65965__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
27,8884.589470534262,191.46068675503025,0.11255444084574752,0.011255444084574752,986.31,5617.3,19.656442880630493,-1,479__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
30,12267.916705526508,95.86177058360188,0.08151343247623415,0.008151343247623415,811.5,5608.5,14.116148471832275,-1,66060__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
33,11846.262703393118,95.71233638760289,0.08441480870701698,0.0084414808707017,819.56,5586.8,14.802294731140135,-1,66111__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
36,9835.444139941244,144.9346997234254,0.10167309028161224,0.010167309028161223,914.78,5595.9,17.60876441001892,-1,619__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
39,11596.758894228407,101.76865037160536,0.08623098997925101,0.008623098997925101,819.66,5497.2,14.749889135360718,-1,66200__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
42,10078.974589181764,118.86843095467968,0.09921644222353204,0.009921644222353204,868.28,5576.0,16.290760517120358,-1,66253__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
45,10942.869938362479,103.91880329641815,0.0913837051552897,0.009138370515528968,831.93,5534.7,15.139769792556764,-1,66302__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
48,11796.597959478782,99.4656447828824,0.08477020268343398,0.008477020268343398,803.28,5523.856865774369,14.464215993881226,-1,826__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
51,11881.974796464572,113.6646229932457,0.08416109418928792,0.008416109418928792,830.18,5533.8,14.619869470596313,-1,875__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
54,12001.350987642456,88.75312507400673,0.08332395253081752,0.008332395253081753,787.94,5569.8,13.668195962905884,-1,908__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
57,13011.090194542807,66.81696328264266,0.07685751040442608,0.0076857510404426095,752.74,5500.293249839699,12.82548975944519,-1,953__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
