Wall time,Step,Value
1645974192.2985125,8002,9.960000170394778e-05
1645974213.4920845,9453,9.955000132322311e-05
1645974299.6523147,13705,9.934999980032444e-05
1645974311.2724912,14405,9.929999941959977e-05
1645974354.8752286,16004,9.919999865815043e-05
1645974374.2015636,17346,9.914999827742577e-05
1645974385.912538,18088,9.90999978967011e-05
1645974434.3024857,20005,9.899999713525176e-05
1645974458.577133,21710,9.894999675452709e-05
1645974470.731967,22496,9.889999637380242e-05
1645974482.737078,23241,9.885000326903537e-05
1645974568.4008899,27585,9.86500017461367e-05
1645974755.0173151,36009,9.819999831961468e-05
1645974770.7073965,37057,9.814999793889001e-05
1645974803.387932,39314,9.804999717744067e-05
1645974866.867613,42237,9.790000331122428e-05
1645974878.7572925,43005,9.785000293049961e-05
1645974930.3821495,45140,9.775000216905028e-05
1645974962.748875,47331,9.765000140760094e-05
1645974992.452871,48012,9.760000102687627e-05
1645975026.490837,50243,9.750000026542693e-05
1645975072.8371646,52013,9.73999995039776e-05
1645975089.9387465,53145,9.734999912325293e-05
1645975153.7804625,56014,9.719999798107892e-05
1645975174.8177736,57441,9.714999760035425e-05
1645975186.450525,58143,9.709999721962959e-05
1645975207.2806015,59584,9.704999683890492e-05
1645975234.5285544,60015,9.699999645818025e-05
1645975282.2352395,63165,9.685000259196386e-05
1645975314.4896889,64016,9.680000221123919e-05
1645975345.766525,66078,9.670000144978985e-05
1645975394.1960273,68017,9.660000068834051e-05
1645975409.7216089,69050,9.655000030761585e-05
1645975430.6084065,70537,9.649999992689118e-05
1645975442.022927,71258,9.644999954616651e-05
1645975505.8865223,74126,9.62999984039925e-05
1645975527.046895,75588,9.624999802326784e-05
1645975553.9922273,76019,9.619999764254317e-05
1645975569.6318133,77038,9.61499972618185e-05
1645975602.6227024,79200,9.604999650036916e-05
1645975666.4876802,82155,9.590000263415277e-05
1645975762.8355665,87186,9.565000073052943e-05
1645975795.0868638,88022,9.560000034980476e-05
1645975814.311649,89381,9.554999996908009e-05
1645975825.8108685,90040,9.549999958835542e-05
1645975846.4050803,91510,9.544999920763075e-05
1645975874.0611165,92023,9.539999882690609e-05
1645975972.4270205,97326,9.514999692328274e-05
1645976131.4101143,105326,9.475000115344301e-05
1645976190.9602153,108027,9.4600000011269e-05
1645976213.8022313,109626,9.454999963054433e-05
1645976346.5970242,116029,9.419999696547166e-05
1645976391.9137628,119118,9.405000309925526e-05
1645976442.4905887,121270,9.395000233780593e-05
1645976453.9425933,122053,9.390000195708126e-05
1645976474.25724,123555,9.385000157635659e-05
1645976547.5111344,127136,9.365000005345792e-05
1645976580.4248893,128032,9.359999967273325e-05
1645976598.1464868,129239,9.354999929200858e-05
1645976658.434116,132033,9.339999814983457e-05
1645976680.4233143,133661,9.33499977691099e-05
1645976736.4720936,136034,9.31999966269359e-05
1645976815.5595968,140035,9.300000237999484e-05
1645976850.8027866,142500,9.29000016185455e-05
1645976893.4487426,144036,9.280000085709617e-05
1645976913.076682,145412,9.27500004763715e-05
1645976924.3194242,146128,9.270000009564683e-05
1645976944.7299912,147585,9.264999971492216e-05
1645977019.3081217,151176,9.244999819202349e-05
1645977070.7406204,153288,9.234999743057415e-05
1645977131.7570012,156039,9.220000356435776e-05
1645977154.8347015,157674,9.215000318363309e-05
1645977166.6958094,158413,9.210000280290842e-05
1645977211.312274,160040,9.200000204145908e-05
1645977229.8025608,161301,9.195000166073442e-05
1645977241.5841522,162056,9.190000128000975e-05
1645977313.9861445,165646,9.175000013783574e-05
1645977337.7566848,167069,9.16499993763864e-05
1645977371.8385885,168042,9.159999899566174e-05
1645977410.9623442,170664,9.14999982342124e-05
1645977422.784522,171372,9.144999785348773e-05
1645977487.0477092,174230,9.129999671131372e-05
1645977584.7609835,179306,9.1050002083648e-05
1645977596.7582004,180033,9.100000170292333e-05
1645977636.5299847,181428,9.095000132219866e-05
1645977669.1445725,183648,9.085000056074932e-05
1645977695.891047,184046,9.080000018002465e-05
1645977732.1880114,186620,9.069999941857532e-05
1645977773.8134751,188047,9.059999865712598e-05
1645977795.1987982,189543,9.054999827640131e-05
1645977806.8876584,190221,9.049999789567664e-05
1645977827.6600409,191643,9.044999751495197e-05
1645977870.6450205,193124,9.034999675350264e-05
1645977891.4335794,194566,9.029999637277797e-05
1645978039.8814821,201673,8.99500009836629e-05
1645978117.1158085,205311,8.974999946076423e-05
1645978193.7026412,209057,8.954999793786556e-05
1645978214.8558948,210494,8.949999755714089e-05
1645978226.8369868,211201,8.944999717641622e-05
1645978312.3099434,215518,8.925000292947516e-05
1645978376.9618948,218348,8.910000178730115e-05
1645978441.8642018,221257,8.895000064512715e-05
1645978463.5036683,222712,8.890000026440248e-05
1645978528.9125693,225621,8.874999912222847e-05
1645978541.4403243,226348,8.86999987415038e-05
1645978588.306608,228057,8.859999798005447e-05
1645978606.335072,229296,8.85499975993298e-05
1645978627.2810454,230676,8.849999721860513e-05
1645978669.6186285,232058,8.83999964571558e-05
1645978691.6412752,233596,8.835000335238874e-05
1645978715.9588063,235024,8.82500025909394e-05
1645978751.1582835,236059,8.820000221021473e-05
1645978768.180913,237164,8.815000182949007e-05
1645978832.710394,240060,8.800000068731606e-05
1645978879.142216,243037,8.784999954514205e-05
1645978995.9301565,248062,8.759999764151871e-05
1645979029.1158953,250369,8.749999688006938e-05
1645979074.5883803,252063,8.740000339457765e-05
1645979093.101165,253293,8.735000301385298e-05
1645979190.4220426,258366,8.710000111022964e-05
1645979254.808349,261244,8.694999996805564e-05
1645979275.5744762,262669,8.689999958733097e-05
1645979287.211312,263368,8.68499992066063e-05
1645979317.6616201,264066,8.679999882588163e-05
1645979351.133292,266334,8.669999806443229e-05
1645979434.4699068,270582,8.649999654153362e-05
1645979457.8638542,272012,8.64000030560419e-05
1645979509.7574759,274189,8.630000229459256e-05
1645979557.6722636,276069,8.620000153314322e-05
1645979656.8653314,281413,8.594999962951988e-05
1645979689.2619164,283542,8.584999886807054e-05
1645979764.5046062,287116,8.564999734517187e-05
1645979878.5357044,292073,8.540000271750614e-05
1645979912.6832418,294369,8.53000019560568e-05
1645979924.5072234,295131,8.525000157533213e-05
1645979987.085296,298022,8.510000043315813e-05
1645980036.392004,300075,8.499999967170879e-05
1645980058.6003418,301694,8.494999929098412e-05
1645980070.1462574,302398,8.489999891025946e-05
1645980115.2810504,304076,8.479999814881012e-05
1645980132.8169138,305258,8.474999776808545e-05
1645980153.2855413,306684,8.469999738736078e-05
1645980227.90714,310284,8.450000314041972e-05
1645980239.6856818,311037,8.445000275969505e-05
1645980291.4373868,313153,8.435000199824572e-05
1645980335.8184586,316049,8.420000085607171e-05
1645980435.1196449,320080,8.399999933317304e-05
1645980450.8925772,321131,8.394999895244837e-05
1645980471.5273602,322512,8.38999985717237e-05
1645980483.244388,323284,8.384999819099903e-05
1645980535.4898686,325509,8.37499974295497e-05
1645980594.6524198,328082,8.36000035633333e-05
1645980610.4541569,329100,8.355000318260863e-05
1645980631.1808054,330560,8.350000280188397e-05
1645980694.4005768,333395,8.335000165970996e-05
1645980706.0547466,334111,8.330000127898529e-05
1645980755.463522,336084,8.320000051753595e-05
1645980867.0718453,342014,8.289999823318794e-05
1645980918.0283165,344086,8.27999974717386e-05
1645980964.0032666,347159,8.265000360552222e-05
1645980997.143113,348087,8.260000322479755e-05
1645981036.1156917,350708,8.250000246334821e-05
1645981047.8381317,351474,8.245000208262354e-05
1645981157.7694645,356089,8.22000001790002e-05
1645981174.7466667,357203,8.214999979827553e-05
1645981207.3302522,359355,8.20499990368262e-05
1645981258.9784338,361457,8.194999827537686e-05
1645981271.0474393,362191,8.189999789465219e-05
1645981292.0039787,363686,8.184999751392752e-05
1645981355.9612803,366600,8.169999637175351e-05
1645981367.7446418,367378,8.165000326698646e-05
1645981431.5353966,370203,8.150000212481245e-05
1645981452.386083,371663,8.145000174408779e-05
1645981495.3175852,373117,8.135000098263845e-05
1645981516.2748153,374586,8.130000060191378e-05
1645981539.9882846,376056,8.119999984046444e-05
1645981641.3820076,380095,8.099999831756577e-05
1645981657.3041644,381150,8.09499979368411e-05
1645981678.45937,382618,8.089999755611643e-05
1645981722.6532965,384096,8.07999967946671e-05
1645981742.2794406,385390,8.074999641394243e-05
1645981803.1797686,388097,8.060000254772604e-05
1645981818.047677,389073,8.055000216700137e-05
1645981838.6706436,390445,8.05000017862767e-05
1645981850.2840953,391144,8.045000140555203e-05
1645981902.4783056,393339,8.035000064410269e-05
1645981914.356631,394062,8.030000026337802e-05
1645981935.3343172,395507,8.024999988265336e-05
1645981964.4530432,396099,8.019999950192869e-05
1645982139.574083,405007,7.975000335136428e-05
1645982160.3616276,406463,7.970000297063962e-05
1645982205.7993507,408102,7.960000220919028e-05
1645982256.0368862,411574,7.945000106701627e-05
1645982394.2368302,418139,7.90999984019436e-05
1645982415.0831983,419553,7.904999802121893e-05
1645982490.183145,423268,7.884999649832025e-05
1645982522.0480473,424106,7.88000033935532e-05
1645982541.6775367,425476,7.875000301282853e-05
1645982574.4604845,427628,7.865000225137919e-05
1645982617.890547,429063,7.855000148992985e-05
1645982703.8679662,433392,7.834999996703118e-05
1645982877.4980078,442282,7.789999654050916e-05
1645982889.4696896,443030,7.785000343574211e-05
1645982924.986537,444111,7.780000305501744e-05
1645982941.435071,445174,7.775000267429277e-05
1645982974.5737224,447396,7.765000191284344e-05
1645982986.2237704,448094,7.760000153211877e-05
1645983049.657209,451091,7.745000038994476e-05
1645983121.7695131,454656,7.729999924777076e-05
1645983259.9251595,461302,7.694999658269808e-05
1645983280.684632,462776,7.690000347793102e-05
1645983292.4384866,463524,7.685000309720635e-05
1645983321.2926753,464116,7.680000271648169e-05
1645983356.1584058,466453,7.670000195503235e-05
1645983368.4380336,467159,7.665000157430768e-05
1645983402.6515815,468117,7.660000119358301e-05
1645983432.3322372,470034,7.650000043213367e-05
1645983453.5289526,471515,7.6450000051409e-05
1645983482.5515618,472118,7.639999967068434e-05
1645983517.2983856,474417,7.6299998909235e-05
1645983563.5811408,476119,7.619999814778566e-05
1645983580.7781978,477283,7.6149997767061e-05
1645983664.840758,481700,7.595000352011994e-05
1645983801.0972745,488122,7.560000085504726e-05
1645983848.2755835,491255,7.544999971287325e-05
1645983881.4467747,492123,7.539999933214858e-05
