Wall time,Step,Value
1660481270.790091,0,840.6133422851562
1660481272.865183,2,840.3467407226562
1660481295.230535,0,1120.274169921875
1660481298.251179,2,1119.7344970703125
1660481321.412433,1,186.05772399902344
1660481323.34967,2,185.31890869140625
1660481342.213617,0,716.60791015625
1660481344.563292,1,715.8098754882812
1660481346.944053,2,715.041015625
1660481368.946844,0,148.1384735107422
1660481371.828081,1,147.41387939453125
1660481374.537993,2,145.30471801757812
1660481396.074368,0,643.0568237304688
1660481399.301874,1,642.1704711914062
1660481402.430828,2,640.21630859375
1660481426.040017,1,957.4556274414062
1660481450.518922,0,139.87672424316406
1660481453.977001,1,138.680419921875
1660481506.501572,0,223.44056701660156
1660481509.894178,1,214.9319305419922
1660481513.04549,2,205.4795379638672
1660481534.460095,0,655.1619873046875
1660481537.70922,1,646.2796020507812
1660481562.397494,0,605.1890258789062
1660481590.882708,0,513.982421875
1660481594.081168,1,506.8451232910156
1660481619.385108,0,458.12823486328125
1660481622.643252,1,440.99163818359375
1660481625.882755,2,426.9519958496094
1660481649.76939,0,613.8475341796875
1660481656.067554,2,599.559326171875
1660481682.865471,1,575.62158203125
1660481686.116593,2,576.7311401367188
1660481714.707513,2,159.24691772460938
1660481737.898262,0,217.49429321289062
1660481741.32524,1,199.9331512451172
1660481744.478666,2,187.60475158691406
1660481769.0431,0,129.71865844726562
1660481799.446673,0,130.6474609375
1660481802.858767,1,201.54977416992188
1660481831.59386,0,300.1662902832031
1660481834.79053,1,295.3499755859375
1660481837.94183,2,272.88336181640625
1660481863.048641,0,82.93389892578125
1660481866.18165,1,79.54268646240234
1660481869.249031,2,88.86852264404297
1660481894.716125,0,253.5099639892578
1660481901.400597,2,240.05711364746094
1660481927.851154,0,226.39659118652344
1660481930.995874,1,216.76377868652344
1660481934.260017,2,222.3766632080078
1660481963.528892,1,329.0650634765625
1660481993.081542,0,73.78944396972656
1660481996.236256,1,69.40849304199219
1660482025.301592,0,123.27445220947266
1660482028.593936,1,112.10005950927734
1660482059.975966,0,149.35519409179688
1660482063.106944,1,124.77650451660156
1660482066.362364,2,119.26770782470703
1660482094.353218,0,273.3982238769531
1660482097.562142,1,255.62559509277344
1660482100.8509,2,259.0195007324219
1660482131.036359,1,300.72235107421875
1660482134.349742,2,297.7222900390625
1660482161.729765,0,164.5601806640625
1660482164.95638,1,172.66941833496094
1660482231.215893,0,282.00933837890625
1660482234.571372,1,271.83544921875
1660482266.833959,0,325.66693115234375
1660482273.584695,2,311.5613708496094
1660482302.58494,0,225.8702850341797
1660482305.764769,1,236.9587860107422
1660482341.294434,1,299.88336181640625
1660482381.469581,2,262.03533935546875
1660482418.923009,2,91.76029968261719
1660482453.341374,1,211.53890991210938
1660482456.733065,2,243.93980407714844
1660482487.028641,0,99.56134796142578
1660482528.905141,1,178.50440979003906
1660482532.150989,2,182.91441345214844
1660482564.343208,0,75.59362030029297
1660482567.625416,1,77.78994750976562
1660482601.75422,0,325.69744873046875
1660482605.081724,1,303.9373779296875
1660482645.424739,1,109.8827896118164
1660482683.713006,1,190.33518981933594
1660482687.053618,2,167.41696166992188
1660482721.329978,1,89.9257583618164
1660482757.359798,0,224.57305908203125
1660482760.694842,1,210.8618927001953
1660482764.059169,2,217.19639587402344
1660482795.684111,0,71.81067657470703
1660482799.103799,1,62.67919921875
1660482802.54224,2,67.00789642333984
1660482839.464106,1,160.3341827392578
1660482842.853415,2,153.1216583251953
1660482875.718358,0,262.03826904296875
1660482879.07448,1,257.0710754394531
1660482915.0212,0,65.67627716064453
1660482918.412868,1,53.79944610595703
1660482921.780094,2,64.91929626464844
1660482959.478432,1,64.09959411621094
1660482962.877207,2,61.44346618652344
1660482995.328383,0,189.28514099121094
1660483002.007012,2,156.6114501953125
1660483035.611812,0,425.2535095214844
1660483042.1373,2,400.65869140625
1660483075.39704,0,85.7841796875
1660483082.205478,2,106.43571472167969
1660483115.909793,0,160.12380981445312
1660483119.286351,1,159.61001586914062
1660483156.209725,0,390.3206787109375
1660483201.802826,1,395.2362365722656
1660483205.130113,2,389.7394714355469
1660483240.362613,0,154.9947967529297
1660483243.760992,1,176.54611206054688
1660483282.383688,0,180.41677856445312
1660483285.69391,1,159.3630828857422
1660483323.079537,0,145.49514770507812
1660483329.755479,2,139.60406494140625
1660483364.001701,0,92.31221008300781
1660483367.334125,1,101.97854614257812
1660483370.732246,2,94.94132995605469
1660483411.355954,1,79.7641372680664
1660483414.745899,2,103.7842788696289
1660483536.223925,0,259.0840759277344
1660483584.139838,1,316.8584899902344
1660483626.532234,1,91.13130950927734
1660483629.854027,2,97.08848571777344
1660483666.511762,0,250.2618865966797
1660483669.887734,1,277.0190734863281
1660483717.396529,2,181.55667114257812
1660483755.197842,0,210.50428771972656
1660483758.56342,1,231.09292602539062
1660483761.968218,2,184.1868896484375
1660483806.97852,2,73.67924499511719
1660483846.073194,0,287.7938232421875
1660483849.517257,1,245.04534912109375
1660483852.965116,2,252.70909118652344
1660483890.750217,0,360.13861083984375
1660483894.102771,1,364.0625915527344
1660483935.818673,0,325.1308898925781
1660483939.173894,1,307.6768493652344
1660483942.549178,2,299.7497253417969
1660483983.833945,1,118.44966125488281
1660483987.221267,2,120.40559387207031
1660484027.34416,0,116.65599822998047
1660484030.762341,1,149.5396270751953
1660484034.100184,2,147.9304656982422
1660484073.693029,0,292.8482360839844
1660484119.906314,0,171.81387329101562
1660484123.108518,1,129.07989501953125
1660484166.093218,0,167.8023223876953
1660484216.67398,1,112.09708404541016
1660484219.986718,2,89.1587142944336
1660484263.581186,1,184.77879333496094
1660484266.960808,2,145.04522705078125
1660484307.812302,0,186.93206787109375
1660484311.150186,1,186.21078491210938
1660484314.48635,2,164.90762329101562
1660484355.048279,0,148.12814331054688
1660484404.009762,0,82.76892852783203
1660484452.906058,0,71.78071594238281
1660484456.245033,1,71.2801513671875
1660484459.563797,2,66.66500091552734
1660484501.045687,0,67.03556060791016
1660484507.875677,2,66.72904205322266
1660484552.993854,1,160.35202026367188
1660484598.069077,0,62.50596237182617
1660484604.775487,2,53.36439514160156
1660484649.464115,1,40.79911422729492
1660484652.823388,2,39.7130126953125
1660484694.303518,0,192.84088134765625
1660484697.626287,1,181.1387176513672
1660484700.964571,2,181.3220977783203
1660484746.029451,1,141.84597778320312
1660484749.406535,2,148.75784301757812
1660484795.582331,1,64.85578155517578
1660484841.740908,0,80.40929412841797
1660484848.128568,2,65.30147552490234
1660484943.089617,1,75.743408203125
1660484989.772532,0,65.58932495117188
1660484993.012455,1,54.574344635009766
1660485039.549083,0,96.28321838378906
1660485042.897717,1,93.14054870605469
1660485046.229917,2,90.79004669189453
1660485089.417691,0,323.0829162597656
1660485092.834063,1,313.0127258300781
1660485096.189653,2,291.9143981933594
1660485139.505467,0,217.2404327392578
1660485142.85936,1,217.66297912597656
1660485146.236559,2,177.8000030517578
1660485189.690901,0,95.47403717041016
1660485243.053049,1,119.06244659423828
1660485246.39789,2,96.43448638916016
1660485293.389829,1,86.07778930664062
1660485344.717454,1,402.73797607421875
1660485399.167975,2,148.27334594726562
1660485444.268747,0,82.93009185791016
1660485447.681547,1,82.30052185058594
1660485451.086518,2,96.35635375976562
1660485499.703149,1,313.23175048828125
1660485503.001341,2,314.7482604980469
1660485550.305671,0,195.17153930664062
1660485553.737765,1,170.80233764648438
1660485557.166935,2,181.9943084716797
1660485603.333856,0,65.26702880859375
1660485655.000452,0,98.49341583251953
1660485658.352218,1,76.41294860839844
1660485707.691583,0,495.4824523925781
1660485714.234556,2,425.03070068359375
1660485763.035042,1,224.62362670898438
1660485811.158818,0,216.16355895996094
1660485817.850197,2,184.22525024414062
1660485864.435238,0,121.3636474609375
1660485867.774569,1,124.43733215332031
1660485871.15908,2,116.42570495605469
1660485917.556045,0,113.24862670898438
1660485920.911788,1,104.07147979736328
1660485924.278632,2,110.87881469726562
1660485972.188371,0,322.7291564941406
1660485975.546987,1,326.2784423828125
1660486025.497247,0,174.48721313476562
1660486032.225771,2,149.51657104492188
1660486080.886565,0,110.3930892944336
1660486087.616339,2,92.62460327148438
1660486139.044029,1,122.94763946533203
1660486142.392938,2,127.89630126953125
1660486190.893166,0,217.29281616210938
1660486194.324437,1,207.62567138671875
1660486197.736549,2,175.14768981933594
1660486246.425879,0,87.09785461425781
1660486249.756215,1,84.98641967773438
1660486253.115941,2,91.55250549316406
1660486301.936536,0,135.00437927246094
1660486305.292773,1,125.16085052490234
1660486308.67149,2,123.83737182617188
1660486360.244095,1,313.159423828125
1660486363.601062,2,286.7553405761719
1660486415.989625,1,401.8684387207031
1660486468.08446,0,113.1983871459961
1660486471.423109,1,123.59435272216797
1660486474.772047,2,132.7782440185547
1660486525.25648,0,263.99188232421875
1660486528.52676,1,250.91192626953125
1660486581.621401,0,225.44732666015625
1660486584.961176,1,167.40769958496094
1660486637.348376,0,218.52684020996094
1660486640.675653,1,214.3815155029297
1660486643.942854,2,205.6132049560547
1660486695.294664,0,248.92408752441406
1660486698.679936,1,221.0363006591797
1660486751.287184,0,154.39239501953125
1660486754.666064,1,136.9003143310547
1660486758.026717,2,131.33102416992188
1660486807.862657,0,373.8041687011719
1660486870.852462,2,172.64483642578125
1660486921.321736,0,137.9087677001953
1660486978.143577,0,136.19338989257812
1660486981.470767,1,111.03886413574219
1660487035.280794,0,73.52201080322266
1660487038.647552,1,71.31316375732422
1660487093.512459,0,88.20530700683594
1660487100.315427,2,68.42337799072266
1660487213.832036,1,352.4396057128906
1660487217.23961,2,323.42852783203125
1660487277.433382,2,515.229736328125
1660487330.374598,0,102.41920471191406
1660487333.740389,1,116.78871154785156
1660487337.10251,2,87.9908447265625
1660487388.804285,0,204.60304260253906
1660487392.169095,1,190.91259765625
1660487447.923411,0,101.06236267089844
1660487454.725234,2,100.68819427490234
1660487509.825989,1,72.9787368774414
1660487567.054773,0,89.09165954589844
1660487626.998197,0,87.20570373535156
1660487630.404386,1,77.16300201416016
1660487690.321927,1,62.35097885131836
1660487693.660753,2,57.616119384765625
1660487749.311228,0,343.73907470703125
1660487752.699033,1,313.2377624511719
1660487808.914859,0,266.7016296386719
1660487812.263926,1,225.7772216796875
1660487874.162319,1,128.27450561523438
1660487877.539133,2,117.6279525756836
1660487937.338524,1,138.78668212890625
1660487998.959222,1,218.4590606689453
1660488061.922007,1,82.35737609863281
1660488065.253719,2,80.42473602294922
1660488120.388868,0,69.91580200195312
1660488123.786675,1,71.4620132446289
1660488127.160609,2,60.19957733154297
1660488187.657766,1,51.78593826293945
1660488191.010576,2,48.55937576293945
1660488247.542785,0,246.31834411621094
1660488250.8785,1,226.18060302734375
1660488254.230012,2,229.4620819091797
1660488309.891996,0,233.46043395996094
1660488313.255953,1,194.01071166992188
1660488372.968972,0,81.61601257324219
1660488379.747148,2,73.52597045898438
1660488436.190946,0,117.37965393066406
1660488499.070934,0,120.52310943603516
1660488502.385577,1,109.30587768554688
1660488571.177093,2,104.6373291015625
1660488634.113456,2,102.14165496826172
1660488690.163429,0,761.8863525390625
1660488696.984247,2,781.348388671875
1660488754.94921,0,313.3674621582031
1660488761.67645,2,290.9865417480469
1660488819.285653,0,296.89453125
1660488822.532081,1,296.87933349609375
1660488887.247871,1,110.12828063964844
1660488890.58774,2,124.23206329345703
1660488951.828495,1,219.33462524414062
1660489020.120881,2,156.7233428955078
1660489084.237871,2,159.5870361328125
1660489144.171705,0,114.40145111083984
1660489147.558592,1,105.9263916015625
1660489150.935002,2,102.47190856933594
1660489211.528921,0,362.0390625
1660489214.839859,1,332.6325378417969
1660489218.166435,2,303.48822021484375
1660489280.959938,1,204.93223571777344
1660489284.364757,2,198.763427734375
1660489343.660701,0,163.9510498046875
1660489347.075432,1,155.17738342285156
1660489350.489793,2,141.04747009277344
1660489411.953318,0,106.8174819946289
1660489415.320615,1,116.84636688232422
1660489484.955259,2,123.97681427001953
1660489547.73629,0,214.9113311767578
1660489685.173528,0,202.20278930664062
1660489692.03786,2,179.1351776123047
1660489752.502344,0,122.92481231689453
1660489755.819767,1,123.18466186523438
1660489759.172484,2,113.08126068115234
1660489821.068658,0,153.06298828125
1660489824.500041,1,149.21978759765625
1660489827.915077,2,138.4123077392578
1660489890.91235,0,456.7564697265625
1660489894.229595,1,408.8037414550781
1660489897.636333,2,384.9715881347656
1660489959.788721,0,178.54574584960938
1660489963.154505,1,175.848388671875
1660489966.520023,2,160.98594665527344
1660490029.277116,0,107.73102569580078
1660490032.616814,1,96.62811279296875
1660490035.94262,2,105.892822265625
1660490098.347302,0,134.76527404785156
1660490105.165155,2,115.96478271484375
1660490168.471339,0,117.223388671875
1660490171.858468,1,99.94661712646484
1660490239.190682,0,121.69444274902344
1660490245.887138,2,106.07122802734375
1660490314.351039,1,143.99057006835938
1660490317.722795,2,124.40403747558594
1660490388.945452,2,167.6509552001953
1660490453.170803,0,66.77952575683594
1660490456.45384,1,58.83147430419922
1660490524.305523,0,193.98117065429688
1660490527.629696,1,189.7877655029297
1660490530.897529,2,166.6451416015625
1660490598.690843,1,214.00967407226562
1660490666.710983,0,87.42884063720703
1660490670.086229,1,77.97647857666016
1660490737.847333,0,215.7347869873047
1660490741.226132,1,188.02867126464844
1660490744.601436,2,173.668701171875
1660490809.899325,0,105.7626953125
1660490813.254411,1,103.39876556396484
1660490816.623558,2,107.57218933105469
1660490881.224397,0,241.0496063232422
1660490884.603998,1,202.42623901367188
1660490887.831767,2,201.89845275878906
1660490954.899153,1,121.74722290039062
