Wall time,Step,Value
1659059289.9909086,3007,92906.875
1659059421.7685933,4001,93632.25
1659059548.3946428,5007,93663.234375
1659059674.4842253,6006,86694.15625
1659059804.7642834,7009,88941.1953125
1659059943.0916152,8002,95977.421875
1659060058.402549,9012,88911.875
1659060168.105457,10012,85061.734375
1659060280.660519,11008,88086.4453125
1659060390.9597287,12003,81023.3671875
1659060500.4782777,13002,74783.609375
1659060607.6847048,14001,77075.0
1659060713.7708628,15014,79462.4453125
1659060822.571457,16004,77026.5625
1659060928.5643325,17005,79334.3515625
1659061040.4782577,18014,77633.1015625
1659061148.6960094,19006,70609.5703125
1659061257.904384,20005,72104.15625
1659061365.7123206,21005,71334.3671875
1659061472.0891275,22011,67405.78125
1659061582.451754,23014,72729.453125
1659061690.3687348,24004,74179.453125
1659061804.7274413,25007,71749.90625
1659061885.5134275,26001,76095.3359375
1659061968.398968,27007,70653.5
1659062054.2974238,28007,73122.2890625
1659062134.0941365,29016,63903.10546875
1659062216.1282117,30001,64341.44140625
1659062296.7003715,31001,64477.01953125
1659062375.4865158,32008,63471.21875
1659062457.6045856,33006,52342.265625
1659062536.0482767,34002,59943.234375
1659062620.319845,35022,49609.1328125
1659062699.045051,36007,54222.171875
1659062781.8378117,37015,50167.9375
1659062856.3709042,38007,55188.5
1659062933.049603,39002,46355.4609375
1659063012.6034958,40009,41100.39453125
1659063095.1578696,41008,54765.9375
1659063173.2222583,42015,50001.0390625
1659063251.2567255,43014,48680.8046875
1659063328.6437986,44007,42755.2109375
1659063411.6482503,45014,45559.578125
1659063488.1606581,46012,40073.05078125
1659063562.5594625,47006,41692.21875
1659063640.4787986,48006,46166.83984375
1659063719.4812741,49008,43462.0703125
1659063796.9175804,50007,42770.09375
1659063871.8961816,51001,45592.75
1659063948.6520762,52004,42917.3125
1659064028.462507,53005,43044.0703125
1659064106.4958565,54005,43203.42578125
1659064184.6069875,55007,43500.8828125
1659064264.8978999,56014,36251.5546875
1659064341.4430604,57015,41069.046875
1659064420.939847,58008,36272.59765625
1659064499.7913425,59023,40722.171875
1659064579.0469532,60015,39968.671875
1659064654.9234023,61010,32156.916015625
1659064728.2919753,62001,34264.57421875
1659064803.7021794,63002,36051.6015625
1659064877.5782325,64001,28035.08984375
1659064957.508268,65014,35141.07421875
1659065030.8250551,66014,32135.46875
1659065107.0387466,67014,33514.00390625
1659065185.2344916,68017,31810.1796875
1659065259.5742912,69013,32883.77734375
1659065334.8576837,70021,33752.83984375
1659065410.6462603,71003,32989.3828125
1659065485.4105408,72002,22760.16015625
1659065562.188629,73012,33052.0546875
1659065639.8422098,74022,25587.685546875
1659065715.5139723,75012,25817.953125
1659065791.7193315,76012,25547.1484375
1659065869.6643791,77015,26971.931640625
